lang,path,missing_clauses
en,C:\Microsaas\obra\public\en\privacy\index.html,email_capture
es,C:\Microsaas\obra\public\es\privacy\index.html,"email_capture, gdpr_rights"
fr,C:\Microsaas\obra\public\fr\privacy\index.html,"email_capture, gdpr_rights"
de,C:\Microsaas\obra\public\de\privacy\index.html,"email_capture, gdpr_rights"
it,C:\Microsaas\obra\public\it\privacy\index.html,"email_capture, gdpr_rights"
pt,C:\Microsaas\obra\public\pt\privacy\index.html,"email_capture, gdpr_rights"
